codeswitch,source,expected_lang
최근 몇 년간 cryptocurrency의 부상에 기여한 주요 factors는 무엇인가요?,okapi_converted,Matrix
AI를 regulation해야 한다는 주요 argument는 무엇인가요?,okapi_converted,Matrix
매력적인 horror story를 만드는 데 essential한 요소는 무엇인가요?,okapi_converted,Matrix
Organic food를 섭취하는 것의 이점은 무엇인가요?,okapi_converted,Matrix
AI 사용과 관련된 주요 ethical considerations은 무엇인가요?,okapi_converted,Matrix
어떤 요소들이 story를 창의적이고 engaging하게 만드는가?,okapi_converted,Matrix
Recycling이 환경에 중요한 주요 이유는 무엇인가요?,okapi_converted,Matrix
한 남자가 unfamiliar city에 있을 때 어떤 emotions과 challenges에 직면할 수 있을까요?,okapi_converted,Matrix
사람들이 시간을 여행할 수 있게 해주는 computer virus의 잠재적 implications와 challenges는 무엇일까요?,okapi_converted,Matrix
효과적인 communication skills의 핵심 components는 무엇인가요?,okapi_converted,Matrix
Machine learning의 주요 principles와 applications은 무엇인가요?,okapi_converted,Matrix
Genetically modified food의 장단점은 무엇인가요?,okapi_converted,Matrix
Poverty의 주요 원인은 무엇인가요?,okapi_converted,Matrix
학교에서 학생들에게 coding skills를 가르치는 것의 이점은 무엇인가요?,okapi_converted,Matrix
경제 침체 동안 startups를 지원하기 위해 제공되는 government assistance의 종류는 무엇인가요?,okapi_converted,Matrix
효과적인 horror story를 만드는 데 필수적인 요소는 무엇인가요?,okapi_converted,Matrix
Blog post 주제를 선택할 때 고려해야 할 factors는 무엇인가요?,okapi_converted,Matrix
Music education이 우리 삶에서 중요한 것으로 여겨지는 이유는 무엇일까요?,okapi_converted,Matrix
Coral reef conservation에 관련된 주요 strategies는 무엇인가요?,okapi_converted,Matrix
COVID-19이 세계 economy에 미치는 주요 impact는 무엇인가요?,okapi_converted,Matrix
AI가 현대 사회에 미치는 주요 impact는 무엇인가요?,okapi_converted,Matrix
왜 voting는 민주 사회의 essential component로 여겨질까요?,okapi_converted,Matrix
"Max가 길을 걷다가 앞에 작은 yellow glow가 보일 때, 그는 무엇을 생각하거나 느낄 수 있을까요?",okapi_converted,Matrix
"Quantum physics에서 wave-particle duality의 개념은 무엇이며, electron와 photon 같은 입자의 행동을 어떻게 설명합니까?",okapi_converted,Matrix
Autonomous weapons에서 AI 사용과 관련된 주요 ethical considerations은 무엇인가요?,okapi_converted,Matrix
Global warming이 북극에 미치는 영향은 무엇인가요?,okapi_converted,Matrix
