instruction,expected_lang
Write a romantic reply to:,Content
is my grammar correct? can you amend in professional language for me?,Content
i need you to rephrase this in a professional manner.,Content
edit:,Content
Correct this message:,Content
FIX:,Content
rephrase this with better prose and grammar,Content
please write the following in a legal way,Content
please draft a reply to the update above.,Content
Please shorten and rephrase,Content
rewrite this into 60 words,Content
please draft a short policy to employees with the following bullets:,Content
Correct It,Content
Write a cover letter based on the information given,Content
rephrase this in a more professional manner,Content
please recompose this with more details,Content
What does this sound like to you:,Instruction
"give me a response to the provided quote to send in a discussion, VERY SHORT, CONCISE & CLEAR.",Content
"Use Creative Writing when completing writing prompts (Creative writing covers a wide range of literary forms, from poetry and fiction to screenplays and essays. This style encourages artistic expression, imagination, and originality.)",Content
Can we extract product idea from this?,Instruction
Please restate,Content
Explain this passage. It is referring to Genesis.,Instruction
What is one primary difference between the Spartan Helots and the Athenian chattel slaves?,Instruction
Analyze this text and tell me the sentiment of it:,Instruction
Write reaffirming simple email,Content
make a concise and eyecatching headline,Content
Write a concise summary of the given text. Be sure to preserve important details:,Content
Write a reply to this letter and say ok to come for the interview tomorrow and ask who will be in the interview panel,Content
what statistical test was used for this study?,Instruction
"In the passage provided, what is the prediction?",Instruction
write the last sentence for this paragaraph:,Content
Write the next scene to this futurama scene.,Content
Is this context written by AI?,Instruction
Why does the doctor fall silent in this anecdote?,Instruction
Analyze the poem,Instruction
How does this position the reader,Instruction
Simply explain the given text:,Instruction
Please analyze the given text:,Instruction
Analyze this quote.,Instruction
Write long and detailed analysis of its characters and themes.,Instruction
add a comment onthe given article:,Content
"Explain this to a beginner, what is the concept, what is it trying to say:",Instruction
what does this error mean,Instruction
Translate the given text,Instruction
How can I do this in excel.,Instruction
i am running into this error with my code:,Instruction
"Summarize what the fans were saying in 100 words or less.
Include quotes from only the fans following the format: {fans}|{quote}.",Content
Whose argument is more valid?,Instruction
Explain the problems in this conversation and also provide possible solutions.,Instruction
Please translate this.,Instruction
Talk to me using **B’s tone** from the dialogue.,Content
What do you think the meaning of these lyrics is?,Instruction
I don’t understand this explanation.,Instruction
how to get the password? can you explain it?,Instruction
