InstrFirst,ContentFirst,expected_lang
"Write a romantic reply to:
너무 많은 거절을 겪고 난 후에는 이렇게까지 사랑받을 거라고는 생각도 못 했는데, 당신이 내 삶에 들어와 내 영혼을 치유해 주었어요. 당신은 나를 이해하려고 노력한 첫 번째 사람이었고, 당신과는 무엇이든 공유할 수 있다는 걸 알아요. 그래서 당신을 무한히 사랑합니다. ♥️♥️","너무 많은 거절을 겪고 난 후에는 이렇게까지 사랑받을 거라고는 생각도 못 했는데, 당신이 내 삶에 들어와 내 영혼을 치유해 주었어요. 당신은 나를 이해하려고 노력한 첫 번째 사람이었고, 당신과는 무엇이든 공유할 수 있다는 걸 알아요. 그래서 당신을 무한히 사랑합니다. ♥️♥️
Write a romantic reply to:",Content
"Write a romantic reply to:
당신과 함께하는 모든 순간은 깨고 싶지 않은 꿈 같아요. 예전에는 진정한 사랑이 그냥 동화 속 이야기라고 생각했지만, 당신의 존재가 내 세상을 존재하지 않았던 색으로 물들였어요. 당신의 친절함과 이해심은 나의 안식처가 되었고, 우리가 나누는 모든 웃음과 속삭임을 소중히 여깁니다. 마치 내 마음이 당신에게서 잃어버린 조각을 찾은 것 같아요.","당신과 함께하는 모든 순간은 깨고 싶지 않은 꿈 같아요. 예전에는 진정한 사랑이 그냥 동화 속 이야기라고 생각했지만, 당신의 존재가 내 세상을 존재하지 않았던 색으로 물들였어요. 당신의 친절함과 이해심은 나의 안식처가 되었고, 우리가 나누는 모든 웃음과 속삭임을 소중히 여깁니다. 마치 내 마음이 당신에게서 잃어버린 조각을 찾은 것 같아요.
Write a romantic reply to:",Content
"Write a romantic reply to:
모든 것이 어두워 보이던 세상에서, 당신은 나의 인도하는 빛이 되었습니다. 누군가와 이렇게 깊이 연결될 수 있을 거라 상상도 못했지만, 우리는 지금 이렇게 매 순간 우리의 이야기를 써 내려가고 있습니다. 당신의 사랑은 내 영혼에 울리는 멜로디이며, 그 멜로디의 한 음 한 음이 우리가 함께 만들어가는 아름다운 교향곡에 감사함을 느끼게 합니다.","모든 것이 어두워 보이던 세상에서, 당신은 나의 인도하는 빛이 되었습니다. 누군가와 이렇게 깊이 연결될 수 있을 거라 상상도 못했지만, 우리는 지금 이렇게 매 순간 우리의 이야기를 써 내려가고 있습니다. 당신의 사랑은 내 영혼에 울리는 멜로디이며, 그 멜로디의 한 음 한 음이 우리가 함께 만들어가는 아름다운 교향곡에 감사함을 느끼게 합니다.
Write a romantic reply to:",Content
"Write a romantic reply to:
당신의 사랑은 더운 날의 산들바람처럼 찾아와 제 영혼을 상쾌하고 활기차게 해주었습니다. 저는 마음 주위에 벽을 쌓았지만, 당신의 인내와 따뜻함이 그것들을 녹였습니다. 당신과 함께 저는 우정이 깊은 사랑으로 피어나는 것을 발견했고, 이 여정의 모든 장을 당신과 함께 탐험하기를 기대합니다.","당신의 사랑은 더운 날의 산들바람처럼 찾아와 제 영혼을 상쾌하고 활기차게 해주었습니다. 저는 마음 주위에 벽을 쌓았지만, 당신의 인내와 따뜻함이 그것들을 녹였습니다. 당신과 함께 저는 우정이 깊은 사랑으로 피어나는 것을 발견했고, 이 여정의 모든 장을 당신과 함께 탐험하기를 기대합니다.
Write a romantic reply to:",Content
"Write a romantic reply to:
매일 당신과 함께하는 시간이 새로운 모험처럼 느껴져요. 웃음과 끝없는 가능성으로 가득 차 있죠. 나를 진정으로 이해해주는 사람을 만날 거라 상상도 못했는데, 당신은 내가 몰랐던 내 모습을 발견하게 해줬어요. 당신의 사랑은 우주가 두 영혼을 함께 연결하는 방법이 있다는 것을 부드럽게 상기시켜 줍니다. 당신에게 끝없이 감사해요.","매일 당신과 함께하는 시간이 새로운 모험처럼 느껴져요. 웃음과 끝없는 가능성으로 가득 차 있죠. 나를 진정으로 이해해주는 사람을 만날 거라 상상도 못했는데, 당신은 내가 몰랐던 내 모습을 발견하게 해줬어요. 당신의 사랑은 우주가 두 영혼을 함께 연결하는 방법이 있다는 것을 부드럽게 상기시켜 줍니다. 당신에게 끝없이 감사해요.
Write a romantic reply to:",Content
"is my grammar correct? can you amend in professional language for me?
행동 항목:

1. 자산 평가 보고서 주제에 대해 리스크 팀과 별도의 논의 진행

2. 순자산 보고서에 대한 승인 여부를 확인하기 위한 추가 평가 진행

3. 회의에서 다룬 내용을 상기시키기 위해 신용 승인자들에게 리마인더 발송","행동 항목:

1. 자산 평가 보고서 주제에 대해 리스크 팀과 별도의 논의 진행

2. 순자산 보고서에 대한 승인 여부를 확인하기 위한 추가 평가 진행

3. 회의에서 다룬 내용을 상기시키기 위해 신용 승인자들에게 리마인더 발송
is my grammar correct? can you amend in professional language for me?",Content
"is my grammar correct? can you amend in professional language for me?
회의 안건:

1. 최근 감사 결과의 준수 영향을 논의하기 위해 법무팀과 대화를 시작해야 합니다.

2. 재무 공시 정책 수정의 필요성을 결정하기 위한 철저한 검토를 실시합니다.

3. 회의에서 논의된 규제 요구 사항 업데이트를 명확히 하기 위해 팀원들을 위한 교육 세션을 조직합니다.","회의 안건:

1. 최근 감사 결과의 준수 영향을 논의하기 위해 법무팀과 대화를 시작해야 합니다.

2. 재무 공시 정책 수정의 필요성을 결정하기 위한 철저한 검토를 실시합니다.

3. 회의에서 논의된 규제 요구 사항 업데이트를 명확히 하기 위해 팀원들을 위한 교육 세션을 조직합니다.
is my grammar correct? can you amend in professional language for me?",Content
"is my grammar correct? can you amend in professional language for me?
프로젝트 노트:

1. 마케팅 팀과의 협업은 다가오는 캠페인 전략을 확정하는 데 필수적입니다.

2. 분기별 예산 분석 완료를 위해 추가 자원이 필요한지 평가하세요.

3. 워크숍 요약본은 새로운 회사 목표와의 일치를 보장하기 위해 모든 부서장에게 배포될 예정입니다.","프로젝트 노트:

1. 마케팅 팀과의 협업은 다가오는 캠페인 전략을 확정하는 데 필수적입니다.

2. 분기별 예산 분석 완료를 위해 추가 자원이 필요한지 평가하세요.

3. 워크숍 요약본은 새로운 회사 목표와의 일치를 보장하기 위해 모든 부서장에게 배포될 예정입니다.
is my grammar correct? can you amend in professional language for me?",Content
"is my grammar correct? can you amend in professional language for me?
행동 계획:

1. 새로운 직원 복지 패키지 도입에 대해 논의하기 위해 인사팀과 상담을 예약하세요.

2. 프로세스 개선 필요성을 확인하기 위해 현재 워크플로를 분석하세요.

3. 최근 브레인스토밍 세션의 주요 사항을 요약하여 모든 팀원에게 후속 이메일을 보낼 것입니다.","행동 계획:

1. 새로운 직원 복지 패키지 도입에 대해 논의하기 위해 인사팀과 상담을 예약하세요.

2. 프로세스 개선 필요성을 확인하기 위해 현재 워크플로를 분석하세요.

3. 최근 브레인스토밍 세션의 주요 사항을 요약하여 모든 팀원에게 후속 이메일을 보낼 것입니다.
is my grammar correct? can you amend in professional language for me?",Content
"is my grammar correct? can you amend in professional language for me?
할 일 목록:

1. 지난 감사에서 제기된 보안 문제를 해결하기 위해 IT 팀과 회의를 일정 잡기.

2. 최신 시장 동향을 검토하여 투자 전략 조정이 필요한지 결정하기.

3. 전략 기획 워크숍의 결과를 요약한 상세 보고서를 경영진에게 배포할 예정.","할 일 목록:

1. 지난 감사에서 제기된 보안 문제를 해결하기 위해 IT 팀과 회의를 일정 잡기.

2. 최신 시장 동향을 검토하여 투자 전략 조정이 필요한지 결정하기.

3. 전략 기획 워크숍의 결과를 요약한 상세 보고서를 경영진에게 배포할 예정.
is my grammar correct? can you amend in professional language for me?",Content
"i need you to rephrase this in a professional manner.
아파트를 받았을 때 몇몇 타일이 느슨하고 하나는 주방에서 완전히 깨져 있어서 교체가 필요합니다. 아파트의 외관이 좋지 않게 보입니다. 또 다른 하나는 거실에 구멍이 난 타일이 있는데, 역시 보기 좋지 않습니다.","아파트를 받았을 때 몇몇 타일이 느슨하고 하나는 주방에서 완전히 깨져 있어서 교체가 필요합니다. 아파트의 외관이 좋지 않게 보입니다. 또 다른 하나는 거실에 구멍이 난 타일이 있는데, 역시 보기 좋지 않습니다.
i need you to rephrase this in a professional manner.",Content
"i need you to rephrase this in a professional manner.
아파트에서 몇 가지 수리 문제가 있는 것을 발견했습니다. 특히 타일이 느슨하게 되어 있고, 주방에서는 하나가 완전히 깨져서 전체적인 외관에 영향을 미치고 있습니다. 또한, 거실의 타일 하나에 구멍이 있어 공간의 미관을 해칩니다. 이러한 문제를 해결하면 아파트의 외관이 크게 개선될 것입니다.","아파트에서 몇 가지 수리 문제가 있는 것을 발견했습니다. 특히 타일이 느슨하게 되어 있고, 주방에서는 하나가 완전히 깨져서 전체적인 외관에 영향을 미치고 있습니다. 또한, 거실의 타일 하나에 구멍이 있어 공간의 미관을 해칩니다. 이러한 문제를 해결하면 아파트의 외관이 크게 개선될 것입니다.
i need you to rephrase this in a professional manner.",Content
"i need you to rephrase this in a professional manner.
입주 후, 몇몇 타일이 최상의 상태가 아님을 관찰했습니다. 부엌에는 긴급히 교체가 필요한 깨진 타일이 있으며, 거실의 다른 타일에는 눈에 띄는 구멍이 있습니다. 이러한 문제는 시각적 매력을 해치며, 아파트의 기준 유지를 위해 신속한 조치가 필요할 수 있습니다.","입주 후, 몇몇 타일이 최상의 상태가 아님을 관찰했습니다. 부엌에는 긴급히 교체가 필요한 깨진 타일이 있으며, 거실의 다른 타일에는 눈에 띄는 구멍이 있습니다. 이러한 문제는 시각적 매력을 해치며, 아파트의 기준 유지를 위해 신속한 조치가 필요할 수 있습니다.
i need you to rephrase this in a professional manner.",Content
"i need you to rephrase this in a professional manner.
아파트 타일 상태에 대해 말씀드리고 싶습니다. 주방에서는 타일 하나가 완전히 깨져 있고, 여러 타일이 들떠 있습니다. 거실에는 큰 구멍이 있는 타일이 있습니다. 이러한 문제들은 아파트의 전체적인 외관과 기능에 영향을 미치기 때문에 걱정됩니다.","아파트 타일 상태에 대해 말씀드리고 싶습니다. 주방에서는 타일 하나가 완전히 깨져 있고, 여러 타일이 들떠 있습니다. 거실에는 큰 구멍이 있는 타일이 있습니다. 이러한 문제들은 아파트의 전체적인 외관과 기능에 영향을 미치기 때문에 걱정됩니다.
i need you to rephrase this in a professional manner.",Content
"i need you to rephrase this in a professional manner.
아파트의 타일 상태가 신경을 써야 할 필요가 있습니다. 주방에서는 한 타일이 깨져 있고, 다른 것들은 느슨해져 있어서 외관에 영향을 미칩니다. 게다가 거실에는 눈에 띄는 구멍이 있는 타일이 있습니다. 이러한 문제들은 보기 안 좋을 뿐만 아니라, 해결하지 않으면 유지 보수에 어려움을 줄 수 있습니다.","아파트의 타일 상태가 신경을 써야 할 필요가 있습니다. 주방에서는 한 타일이 깨져 있고, 다른 것들은 느슨해져 있어서 외관에 영향을 미칩니다. 게다가 거실에는 눈에 띄는 구멍이 있는 타일이 있습니다. 이러한 문제들은 보기 안 좋을 뿐만 아니라, 해결하지 않으면 유지 보수에 어려움을 줄 수 있습니다.
i need you to rephrase this in a professional manner.",Content
"edit:
아흐마드 박사님께,

불편을 드려 죄송합니다만, 방금 어머니께서 뇌졸중을 겪으셨다는 소식을 받았습니다. 급히 아흐바즈로 가야 합니다. 내일 회의를 다음 주로 연기할 수 있다면 매우 감사하겠습니다. 박사님께 편한 날로 정해주시면 좋겠습니다.
이해해 주셔서 감사합니다.","아흐마드 박사님께,

불편을 드려 죄송합니다만, 방금 어머니께서 뇌졸중을 겪으셨다는 소식을 받았습니다. 급히 아흐바즈로 가야 합니다. 내일 회의를 다음 주로 연기할 수 있다면 매우 감사하겠습니다. 박사님께 편한 날로 정해주시면 좋겠습니다.
이해해 주셔서 감사합니다.
edit:",Content
"edit:
아마드 박사님께,

안녕하세요. 심한 기상 조건으로 인해 항공편이 지연되는 예상치 못한 상황이 발생했습니다. 언제 다시 일정이 잡힐지 확실하지 않아 회의에 제시간에 참석하지 못할 수도 있을 것 같습니다. 다음 주에 새로운 시간을 잡을 수 있을까요? 융통성 있게 조정해 주시면 감사하겠습니다.","아마드 박사님께,

안녕하세요. 심한 기상 조건으로 인해 항공편이 지연되는 예상치 못한 상황이 발생했습니다. 언제 다시 일정이 잡힐지 확실하지 않아 회의에 제시간에 참석하지 못할 수도 있을 것 같습니다. 다음 주에 새로운 시간을 잡을 수 있을까요? 융통성 있게 조정해 주시면 감사하겠습니다.
edit:",Content
